customer_id,customer_name,region,rep_id,channel,tier,base_monthly_value,onboard_date,competitor_pressure,lat,lon
C1000,榮長海運股份有限公司,高雄,L113,診所,C,12755.112374201284,2025-07-10,0,22.56976704395026,120.35410701807844
C1001,台灣雅萊（Y'ORÉAL）有限公司,新北,L108,藥局,B,74121.66167272087,2025-08-26,0,25.038826643861846,121.48756395669577
C1002,遊戲葡萄數位科技資訊有限公司,台南,L107,藥局,C,13330.227848067774,2025-09-03,0,22.94929061138225,120.17753112705853
C1003,台灣來自水,台南,L107,診所,C,21309.715630694423,2023-04-01,0,23.01282131580374,120.27928572667689
C1004,大八電視有限公司,台南,L107,診所,A,174430.9253002566,2023-05-05,0,22.9613673291054,120.2104914649264
C1005,台灣地土銀行有限公司,台北,L100,藥局,B,67074.93715788142,2024-03-27,0,25.080600834111998,121.5444764956651
C1006,品王餐飲股份有限公司,台北,L106,診所,B,37866.67172259374,2025-04-23,0,25.074429121244066,121.5397648412198
C1007,榮長海運,台中,L110,藥局,B,34183.51059492372,2026-01-24,1,24.176918348847135,120.64543585958783
C1008,樂可旅遊集團資訊有限公司,高雄,L115,診所,C,9633.265961253284,2023-12-08,0,22.540473251654618,120.22203802325873
C1009,台灣地土銀行股份有限公司,台中,L104,藥妝通路,C,20132.519887247483,2023-08-05,0,24.135373746527943,120.61659867670537
C1010,豐兆國際商業銀行資訊有限公司,花東,L105,藥局,B,56857.076291804275,2023-01-16,1,23.666030437456172,121.15836057268129
C1011,湖劍山世界股份有限公司,花東,L105,藥局,C,3915.5118249616344,2024-06-21,0,23.71921226354897,121.23219817347318
C1012,碩華電腦股份有限公司,台南,L102,診所,C,16000.14081259117,2026-05-01,1,22.93876525512755,120.24581083084702
C1013,品王餐飲股份有限公司,台南,L102,藥局,B,56445.042880684145,2025-05-14,0,22.97477856438922,120.19027419205642
C1014,全味食品工業股份有限公司,台北,L106,藥局,C,5388.666304979758,2023-10-08,0,25.04984120601709,121.6714757948148
C1015,豐兆國際商業銀行資訊有限公司,台北,L117,診所,C,15206.754326612634,2024-12-15,1,25.08330935222418,121.51122436931477
C1016,一統企業資訊有限公司,高雄,L112,診所,C,6621.371986804399,2026-03-30,0,22.550623745540825,120.31175527506333
C1017,品誠有限公司,花東,L105,藥妝通路,C,19984.273506441736,2023-10-24,0,23.7235253863077,121.23654535951977
C1018,國中鋼鐵股份有限公司,高雄,L112,藥妝通路,B,70711.19696686984,2025-09-17,0,22.560877259077394,120.24771637886265
C1019,達台電子股份有限公司,新北,L108,藥局,C,3306.598329580434,2025-07-07,0,25.05553632759661,121.33978967393814
C1020,天中電視資訊有限公司,桃園,L109,藥局,C,18738.956851547635,2023-07-04,0,24.964549833999985,121.28133961433828
C1021,雄遠建設事業有限公司,台北,L106,藥局,C,3546.908810497639,2024-03-25,0,24.967936715666,121.57082938689767
C1022,資華粧業（生資堂）,高雄,L113,藥妝通路,C,13282.395234216414,2023-04-29,0,22.699651217253297,120.25765496973538
C1023,台灣力電,新北,L108,診所,C,16268.357461451964,2024-10-16,0,25.08433164384756,121.45714424674485
C1024,台灣鐵高股份有限公司,高雄,L115,藥局,B,66030.78541338956,2026-01-02,0,22.60520506259272,120.32189333305644
C1025,華晶國際酒店,花東,L105,診所,A,190516.45669849403,2025-10-24,0,23.68350957536152,121.12841675059947
C1026,遠西百貨股份有限公司,高雄,L101,醫院,C,9995.804132945086,2024-06-06,1,22.58400651798743,120.3203896557004
C1027,全味食品工業資訊有限公司,新北,L108,診所,B,56417.795845852495,2026-03-24,0,25.03256946301449,121.396055311681
C1028,台灣力電資訊有限公司,台北,L117,醫院,C,22858.369166407574,2022-07-23,1,25.048823032261392,121.56854800790137
C1029,台灣印無品良股份有限公司,台南,L107,診所,C,13181.586043057348,2024-11-25,0,23.017459639381226,120.20468512512073
C1030,台灣酒菸,台中,L104,診所,B,45151.584740443606,2024-12-03,0,24.12763262965865,120.75160267568194
C1031,樂可旅遊集團資訊有限公司,台南,L107,藥局,B,71670.82688254936,2023-04-01,0,23.003692748951554,120.18515457060198
C1032,衣優庫（Nuiqlo）有限公司,新北,L108,診所,C,16516.35429192224,2026-01-17,1,25.060746481468318,121.36847758466081
C1033,Goagle股份有限公司,高雄,L114,藥妝通路,C,20492.52645762789,2022-09-09,0,22.554306391037134,120.2611315833562
C1034,台北邦富商業銀行資訊有限公司,台北,L109,診所,C,14497.899061288701,2023-05-29,1,25.129972580899075,121.44160570339172
C1035,明陽海運,台南,L102,診所,A,90525.08142929222,2023-05-14,0,23.063808293359344,120.24097268120823
C1036,興復航空運輸資訊有限公司,花東,L111,診所,B,33668.64067437498,2022-09-23,0,23.690299458180828,121.23328733285955
C1037,發聯科技有限公司,高雄,L101,藥妝通路,C,24705.893988335083,2023-08-04,1,22.660546990079446,120.44105918602077
C1038,台灣士賓股份有限公司,台中,L116,診所,C,12994.995160518423,2023-03-02,0,24.05162332377287,120.62595182259847
C1039,一統星巴克有限公司,台南,L102,藥妝通路,C,22342.400534770397,2025-04-20,1,23.04181721757328,120.23529448592352
C1040,碩華電腦,桃園,L111,藥妝通路,A,108899.36696493765,2025-08-21,1,25.024870035343927,121.28504967248507
C1041,邦城文化事業有限公司,台北,L100,醫院,C,21686.994544307603,2026-03-12,1,25.015906956017048,121.57726740491651
C1042,資華粧業（生資堂）有限公司,台北,L117,藥局,A,104213.85328628664,2023-06-25,0,24.982756106570353,121.52973597886808
C1043,全味食品工業股份有限公司,台南,L107,診所,B,78911.26316942749,2026-03-16,0,23.028181825307794,120.21913480095874
C1044,榮長航空資訊有限公司,高雄,L113,診所,A,102023.98746563827,2023-04-30,0,22.64701972013695,120.32311531123572
C1045,神漢名店百貨有限公司,台南,L102,診所,C,23693.077013301405,2025-11-01,0,23.020626553642778,120.34406075360758
C1046,達台電子資訊有限公司,花東,L105,診所,B,48534.676752474246,2023-12-02,0,23.647797871643036,121.04902595040147
C1047,瑞輝大藥廠,台北,L117,診所,A,130208.00529882325,2024-02-29,0,25.008575305818983,121.5483381697176
C1048,台灣力電,台南,L107,診所,C,16772.274580703255,2024-12-30,0,23.08569287039637,120.2324912106904
C1049,台灣力電股份有限公司,台南,L102,藥局,C,21422.411971591508,2024-06-21,0,23.039635114178807,120.29211722026676
C1050,合作庫金商業銀行股份有限公司,花東,L111,診所,B,42264.13533910941,2026-05-12,1,23.60809635018637,121.22623173378884
C1051,輝燁企業資訊有限公司,台北,L109,藥局,A,123790.3233293903,2023-05-18,0,25.06090481257002,121.47174249882033
C1052,天中電視,新北,L108,診所,C,14551.942665279747,2025-10-10,0,25.070768924504634,121.56053621685744
C1053,台灣地土銀行,花東,L111,藥局,C,11636.599748522238,2026-02-07,1,23.713293729399364,121.2382830813002
C1054,台灣人銀行,花東,L105,診所,C,9425.305266919624,2024-06-27,0,23.554144381705974,121.09720605349375
C1055,品誠股份有限公司,新北,L108,藥局,C,19783.86641886964,2026-03-11,0,25.059310978453944,121.50255995822313
C1056,台灣地土銀行股份有限公司,新北,L108,藥局,B,71860.8534284643,2022-11-01,0,24.954964239765328,121.38813169274394
C1057,天上雜誌股份有限公司,台南,L102,藥局,A,127826.30080418487,2025-09-20,0,23.044064760338056,120.21742110155468
C1058,華晶國際酒店有限公司,台南,L107,診所,B,25402.29509611586,2023-08-25,0,22.912410650884535,120.30717116600073
C1059,邦富人壽保險資訊有限公司,花東,L105,藥局,C,20204.113756239898,2023-01-01,0,23.81763779184488,121.07380311683424
C1060,榮長海運有限公司,台南,L107,藥局,C,19142.576943634158,2023-06-19,0,22.900594451109246,120.15013584758925
C1061,麥當當股份有限公司,台中,L116,藥局,C,12054.672048269318,2023-04-17,0,24.110044747813784,120.63540308301386
C1062,愛味之,新北,L108,藥局,A,124724.2809568081,2023-10-04,0,25.043679328852583,121.41440406574156
C1063,台灣力電資訊有限公司,花東,L111,藥局,A,108144.21805295582,2026-05-27,0,23.660620043952285,121.172668177604
C1064,資華粧業（生資堂）,高雄,L114,藥妝通路,C,10656.691315009315,2023-01-21,0,22.51108971756279,120.28277096142824
C1065,Goagle有限公司,桃園,L102,藥妝通路,B,43805.98162001132,2023-03-28,1,25.003917619946225,121.2807604902759
C1066,創群光電（奇原美電子）資訊有限公司,新北,L108,診所,C,16094.682489094179,2024-11-14,1,25.12776950077736,121.4523496359717
C1067,台灣力電,台北,L106,醫院,B,49930.395407508986,2025-01-24,0,24.931482241049814,121.56434623041135
C1068,品誠資訊有限公司,台中,L110,診所,C,22999.425917304867,2024-05-01,1,24.194790642196487,120.68994218531645
C1069,湖劍山世界有限公司,台北,L106,診所,B,73087.29009099441,2024-03-16,1,25.022984324193487,121.61440655203205
C1070,樂可旅遊集團資訊有限公司,花東,L105,藥妝通路,C,20326.976397045462,2025-09-09,0,23.787702466417805,121.11686957041104
C1071,輝燁企業資訊有限公司,桃園,L117,藥局,B,77787.59872810711,2026-04-04,0,24.935781693337873,121.24609063304925
C1072,天中電視股份有限公司,新北,L108,診所,A,93392.0441899072,2023-09-01,0,25.05041293755645,121.44950783305616
C1073,樂可旅遊集團,台中,L103,醫院,A,183531.74764890538,2024-06-28,0,24.18884494211648,120.65254285706692
C1074,松黑,桃園,L108,診所,B,51392.48703030858,2025-07-09,0,25.039639034427676,121.23259034485243
C1075,德汎有限公司,高雄,L113,藥局,B,32601.29544011919,2026-05-20,0,22.67572049691667,120.2042076803365
C1076,華福大飯店,台中,L110,診所,C,3104.3106440612264,2023-01-21,0,24.178677854326086,120.65129699820486
C1077,榮長航空資訊有限公司,台南,L107,診所,C,24662.28973958816,2024-12-29,1,23.051001159457837,120.26537758456988
C1078,心安食品服務（斯摩漢堡）,高雄,L101,診所,B,29295.961619420013,2025-01-20,0,22.593928482469053,120.2246095425416
C1079,塑台石化資訊有限公司,台南,L107,藥局,B,57660.68014156462,2025-11-08,0,23.023519478269932,120.23062315570547
C1080,遠西百貨,台南,L102,醫院,A,199170.1498316608,2022-11-18,1,22.987525160912266,120.1620543681567
